iter	Passed	Remaining
404	7948	11676
405	7963	11651
406	7980	11628
407	8001	11610
408	8018	11586
409	8035	11563
410	8053	11541
411	8070	11518
412	8088	11496
413	8130	11508
414	8154	11494
415	8172	11473
416	8190	11451
417	8210	11432
418	8232	11415
419	8250	11394
420	8267	11370
421	8285	11348
422	8303	11326
423	8323	11307
424	8340	11284
425	8355	11258
426	8374	11237
427	8391	11214
428	8409	11192
429	8427	11170
430	8446	11151
431	8464	11128
432	8481	11106
433	8498	11083
434	8521	11067
435	8541	11049
436	8563	11033
437	8583	11013
438	8603	10993
439	8620	10972
440	8639	10950
441	8659	10932
442	8677	10910
443	8694	10887
444	8714	10868
445	8734	10849
446	8754	10830
447	8771	10807
448	8789	10785
449	8806	10763
450	8824	10742
451	8842	10719
452	8859	10698
453	8877	10676
454	8895	10654
455	8913	10633
456	8930	10610
457	8946	10586
458	8969	10572
459	8990	10553
460	9008	10532
461	9026	10511
462	9043	10488
463	9060	10466
464	9081	10448
465	9099	10427
466	9121	10410
467	9139	10389
468	9155	10365
469	9176	10347
470	9192	10324
471	9209	10302
472	9226	10279
473	9242	10256
474	9259	10234
475	9276	10212
476	9299	10196
477	9319	10177
478	9336	10155
479	9354	10133
480	9371	10112
481	9388	10090
482	9414	10077
483	9436	10060
484	9454	10039
485	9472	10017
486	9489	9996
487	9508	9976
488	9524	9953
489	9544	9934
490	9568	9918
491	9589	9901
492	9613	9886
493	9634	9868
494	9655	9850
495	9673	9829
496	9690	9807
497	9709	9787
498	9728	9767
499	9746	9746
500	9763	9724
501	9781	9703
502	9801	9684
503	9832	9676
504	9852	9657
505	9870	9636
506	9892	9618
507	9908	9596
508	9930	9579
509	9949	9559
510	9967	9538
511	9994	9525
512	10020	9512
513	10041	9494
514	10058	9472
515	10076	9451
516	10094	9430
517	10113	9410
518	10134	9392
519	10151	9371
520	10169	9349
521	10186	9327
522	10206	9308
523	10226	9289
524	10252	9275
525	10269	9254
526	10286	9232
527	10302	9209
528	10321	9190
529	10340	9169
530	10358	9149
531	10376	9127
532	10393	9106
533	10412	9086
534	10429	9064
535	10447	9044
536	10463	9021
537	10481	9000
538	10499	8979
539	10517	8958
540	10539	8942
541	10556	8920
542	10574	8899
543	10592	8879
544	10610	8858
545	10627	8837
546	10653	8822
547	10675	8805
548	10693	8784
549	10710	8763
550	10728	8742
551	10749	8724
552	10766	8702
553	10782	8680
554	10798	8658
555	10815	8636
556	10833	8615
557	10850	8594
558	10872	8577
559	10889	8556
560	10905	8534
561	10923	8513
562	10941	8492
563	10961	8473
564	10985	8457
565	11003	8437
566	11021	8416
567	11039	8396
568	11059	8376
569	11080	8358
570	11098	8338
571	11115	8317
572	11136	8298
573	11159	8282
574	11177	8261
575	11198	8243
576	11215	8222
577	11233	8201
578	11248	8178
579	11266	8158
580	11291	8143
581	11308	8121
582	11324	8100
583	11343	8080
584	11360	8059
585	11379	8039
586	11398	8019
587	11415	7998
588	11435	7979
589	11451	7958
590	11468	7936
591	11489	7918
592	11506	7897
593	11524	7876
594	11544	7857
595	11568	7841
596	11585	7820
597	11605	7801
598	11622	7780
599	11640	7760
600	11659	7740
601	11678	7720
602	11699	7702
603	11717	7682
604	11734	7661
605	11752	7641
606	11770	7621
607	11789	7600
608	11807	7581
609	11826	7561
610	11844	7540
611	11862	7520
612	11881	7501
613	11912	7488
614	11932	7469
615	11949	7448
616	11966	7428
617	11984	7407
618	12004	7389
619	12025	7370
620	12046	7352
621	12065	7332
622	12083	7312
623	12107	7295
624	12125	7275
625	12142	7254
626	12159	7233
627	12177	7213
628	12197	7194
629	12216	7174
630	12235	7154
631	12252	7134
632	12268	7113
633	12285	7092
634	12303	7071
635	12323	7052
636	12341	7032
637	12359	7012
638	12376	6992
639	12394	6971
640	12412	6951
641	12432	6933
642	12450	6912
643	12468	6892
644	12486	6872
645	12506	6853
646	12535	6839
647	12553	6819
648	12570	6798
