iter	MultiClass
350	0.2984549695
351	0.2976197775
352	0.2969856899
353	0.2965504184
354	0.2957041285
355	0.2947415203
356	0.294218737
357	0.2933104761
358	0.2927747452
359	0.291844685
360	0.2912446957
361	0.2905469849
362	0.2896831885
363	0.2884604935
364	0.2874988256
365	0.2869406665
366	0.2864506074
367	0.286072716
368	0.2853494952
369	0.2847948632
370	0.2838830854
371	0.2832604441
372	0.28260404
373	0.2820585931
374	0.2814596077
375	0.280656765
376	0.2797087178
377	0.2790402633
378	0.2783810084
379	0.2773630695
380	0.2766881175
381	0.2760609755
382	0.2756200525
383	0.2749134083
384	0.2741310223
385	0.2734070455
386	0.2728052287
387	0.2722576008
388	0.2717083611
389	0.2711110547
390	0.270596032
391	0.2698922736
392	0.2688593779
393	0.2681244182
394	0.267392061
395	0.2668363617
396	0.2661658906
397	0.2656952279
398	0.2648256195
399	0.2640683016
400	0.2636345902
401	0.2628413626
402	0.2621973709
403	0.2617425141
404	0.2611447509
405	0.2602565955
406	0.2598022303
407	0.2591037374
408	0.2586199493
409	0.258227571
410	0.2577780969
411	0.2572998103
412	0.2565969828
413	0.2560304722
414	0.2554255104
415	0.2546382868
416	0.2537265181
417	0.2531703695
418	0.2527979899
419	0.2522570207
420	0.2515301127
421	0.2511268907
422	0.2506270636
423	0.2499185367
424	0.2490864782
425	0.2485506492
426	0.2477290598
427	0.2473594187
428	0.2467660947
429	0.2462212365
430	0.2455072738
431	0.2446193295
432	0.2440150891
433	0.2430241151
434	0.2425032725
435	0.2417936227
436	0.2411888949
437	0.2406672065
438	0.240193968
439	0.2396682266
440	0.2391319803
441	0.2386550038
442	0.2382314844
443	0.2374967325
444	0.2367958894
445	0.2361431983
446	0.2355951944
447	0.2349435888
448	0.2343795708
449	0.2338632418
450	0.2330590802
451	0.2326461152
452	0.2321801391
453	0.2316683546
454	0.231085289
455	0.2304783868
456	0.2300781458
457	0.2293736933
458	0.2289815513
459	0.2285436839
460	0.227916147
461	0.2274731313
462	0.2270397719
463	0.2264476433
464	0.2259843618
465	0.2253496457
466	0.2249191097
467	0.2243334181
468	0.2240298919
469	0.2235263338
470	0.2227649057
471	0.2221734218
472	0.2216066255
473	0.2210236999
474	0.2205903429
475	0.2201075753
476	0.2197708421
477	0.2189495273
478	0.2183565612
479	0.2179415728
480	0.2175804601
481	0.2170323863
482	0.2166535734
483	0.2160945751
484	0.2157847104
485	0.2152521019
486	0.2146633159
487	0.2141479241
488	0.2136326921
489	0.2130858753
490	0.2127931007
491	0.2124635897
492	0.2121751688
493	0.2117437194
494	0.2112831976
495	0.2110291222
496	0.2105224971
497	0.2100716033
498	0.2093430006
499	0.208960417
500	0.2084330288
501	0.2076319691
502	0.2071899
503	0.2067384028
504	0.2064255889
505	0.2057632947
506	0.2054243529
507	0.2050261315
508	0.2046338627
509	0.2043742328
510	0.2039755179
511	0.2035737748
512	0.203099425
513	0.202567014
514	0.2022205774
515	0.2018301127
516	0.2013645203
517	0.200940584
518	0.2004089802
519	0.200198806
520	0.1999199051
521	0.1996940194
522	0.1993048198
523	0.1986739583
524	0.1982261007
525	0.1978234637
526	0.1975371443
527	0.1973104433
528	0.1968708997
529	0.1963556896
530	0.1960080173
531	0.1958003508
532	0.1954459602
533	0.1950832207
534	0.1947938863
535	0.1944880584
536	0.1940331444
537	0.1938366041
538	0.1934404425
539	0.1930193168
540	0.1927025152
541	0.1924511068
542	0.1921808745
543	0.1917186564
544	0.1913490583
545	0.1908072554
546	0.1903876417
547	0.1899800973
548	0.1896142143
549	0.189159024
550	0.1888729549
551	0.1886204273
552	0.1881178138
553	0.1878759027
554	0.1876504279
555	0.1872993907
556	0.1868661723
557	0.1866634062
558	0.1863488438
559	0.1857853438
560	0.1854357655
561	0.1851627193
562	0.1847095241
563	0.1844389641
564	0.1841217262
565	0.1838488781
566	0.1832998852
567	0.1830966617
568	0.1827715615
569	0.1825834434
570	0.1822077939
571	0.18200543
572	0.1816436428
573	0.1814755845
574	0.1811428157
575	0.1807627834
576	0.1804830817
577	0.1802044922
578	0.1798946549
579	0.1796583643
580	0.1792603744
581	0.1790382599
582	0.1786429291
583	0.1782252791
584	0.1779600077
585	0.177661323
586	0.1773547162
587	0.1771169617
588	0.176814795
589	0.1764595868
590	0.1759296235
591	0.175710434
592	0.1754480449
593	0.1751220718
594	0.1748727193
595	0.1745633497
596	0.17417299
597	0.1738750516
598	0.1736888855
599	0.1734994377
600	0.1731935724
601	0.1729250556
602	0.1727439936
603	0.1724233929
604	0.1721530052
605	0.1719760453
606	0.1716783478
607	0.1714632836
608	0.171155201
609	0.1709329876
610	0.1706712564
611	0.1703176362
612	0.1701074223
613	0.169478451
614	0.1691554325
615	0.1689391595
616	0.1686747364
617	0.1684026001
618	0.1681587403
619	0.1679819272
620	0.1674810718
621	0.1672579578
622	0.1670691859
623	0.1667613753
624	0.166558564
625	0.1661875737
626	0.1658830458
627	0.165491794
628	0.1651802838
629	0.1649858441
630	0.1646427332
631	0.164446135
632	0.1641316702
633	0.1638770516
634	0.1635968362
635	0.1633938733
636	0.1631441981
637	0.1629876711
638	0.1626618197
639	0.1624531252
640	0.1620991111
641	0.1619076936
642	0.1614767223
643	0.1611001778
644	0.1608545553
645	0.1606201329
646	0.1604103995
647	0.1601289047
648	0.1598795695
649	0.1594113974
650	0.1590985824
651	0.1586460593
652	0.1584236831
653	0.1582445862
654	0.1579379099
655	0.157604496
656	0.1573221716
657	0.1571663529
658	0.1568869805
659	0.1565963605
660	0.156374586
661	0.1561180471
662	0.1559136213
663	0.1557073213
664	0.1555219832
665	0.1551644304
666	0.1548021212
667	0.1544442182
668	0.15409275
669	0.1538280981
670	0.1536230952
671	0.1533981981
672	0.1531667167
673	0.1529472058
674	0.1527779757
675	0.1525574594
676	0.1523516976
677	0.1519685961
678	0.151449493
679	0.1511979127
680	0.1510331423
681	0.1507800485
682	0.1505072735
683	0.1503368696
684	0.1500467181
685	0.1499112687
686	0.1497137682
687	0.1494505748
688	0.1492656621
689	0.1488941947
690	0.1486211757
691	0.1483243343
692	0.148107283
693	0.1479493002
694	0.1476221259
695	0.1474343632
696	0.1472594529
697	0.1469679151
698	0.146770581
699	0.1464685041
700	0.1461027909
701	0.1459066795
702	0.1456893803
703	0.1453762613
704	0.1451028935
705	0.1448479628
706	0.1446920469
707	0.1444615563
708	0.1442230115
709	0.144019289
710	0.1438282108
711	0.1437092129
712	0.1433786816
713	0.1431336044
714	0.1428451663
715	0.1425401375
716	0.1424391553
717	0.1422738896
718	0.1418646549
719	0.1416306613
720	0.1414627555
721	0.1412521651
722	0.1410806774
723	0.1409452513
724	0.1407421917
725	0.1404661074
726	0.1401378719
727	0.1397988197
728	0.1396055752
729	0.1391877915
730	0.1389798672
731	0.1387455063
732	0.138600983
733	0.1384608028
734	0.138074507
735	0.1377483642
736	0.1374731776
737	0.137234023
738	0.1370445433
739	0.1368960354
740	0.1367803759
741	0.1365838228
742	0.1363597194
743	0.1361470184
744	0.1359248419
745	0.1357125083
746	0.1355718314
747	0.135241309
748	0.1350610697
749	0.1348343309
750	0.1347069022
751	0.1344602413
752	0.1342445013
753	0.1340207857
754	0.1337773093
755	0.1336139494
756	0.1333371049
757	0.1332000888
758	0.13296831
759	0.1328497731
760	0.1325280587
761	0.1323703777
762	0.1322479478
763	0.1319973935
764	0.1317378314
765	0.1315235307
766	0.1312774348
767	0.1310604923
768	0.130862208
769	0.1305625759
770	0.1303361137
771	0.1301721153
772	0.1299333601
773	0.1297598816
774	0.1296382118
775	0.1295167564
776	0.1292156827
777	0.1290212521
778	0.1287136875
779	0.1284977515
780	0.1282291938
781	0.1280215653
782	0.1278644099
783	0.1276772152
784	0.1275600897
785	0.1273401175
786	0.127158474
787	0.1269575169
788	0.1266899213
789	0.1264580096
790	0.126298056
791	0.1261641081
792	0.1259048246
793	0.1257452451
794	0.1256034261
795	0.1253844238
796	0.1251462557
797	0.1248972393
798	0.1247435375
799	0.1245074612
800	0.1243813601
801	0.1242470335
802	0.1240183325
803	0.1238738346
804	0.1237545214
805	0.1235464034
806	0.1233765389
807	0.1231802305
808	0.123019351
809	0.1228860793
810	0.1227014434
811	0.1225277874
812	0.1223424033
813	0.1222484586
814	0.1221502715
815	0.1219876064
816	0.1217423072
817	0.1215891665
818	0.121404338
819	0.1211660637
820	0.1210023561
821	0.120819772
822	0.1206513789
823	0.1205331511
824	0.1203202928
825	0.1201807819
826	0.11995478
827	0.1197710057
828	0.1195944458
829	0.1194201806
830	0.1192584942
831	0.1190658713
832	0.1188690316
833	0.1187392596
834	0.1185441237
835	0.1183083299
836	0.1181155393
837	0.1180105984
838	0.1179055686
839	0.1177030284
840	0.1175344548
841	0.1173400647
842	0.1171666165
843	0.1169931118
844	0.1167980158
845	0.1166143873
846	0.1164250591
847	0.1161734646
848	0.1160032516
849	0.1158589853
850	0.1156480228
851	0.1155168199
852	0.1154244768
853	0.115273941
854	0.1151749235
855	0.1150271995
856	0.114816039
857	0.1146553929
858	0.1144329207
859	0.1142029019
860	0.1140988193
861	0.1139215696
862	0.1136823482
863	0.1135625788
864	0.1134727263
865	0.1133171054
866	0.1131760063
867	0.1130390227
868	0.1128941274
869	0.1127517849
870	0.112605921
871	0.112481832
872	0.1122636103
873	0.1121186451
874	0.1119556288
875	0.1117112797
876	0.1115398932
877	0.1113628611
878	0.1111615078
879	0.11100036
880	0.1109125401
881	0.1107743706
882	0.1105981987
883	0.1104374695
884	0.1102632605
885	0.1100947269
886	0.1099417129
887	0.1098085946
888	0.1096456604
889	0.1094724986
890	0.1093966698
891	0.1091894764
892	0.108945837
893	0.1087290994
894	0.1085994123
895	0.1084925703
896	0.1083379463
897	0.1081737912
898	0.1080749307
899	0.1078767011
900	0.1077199481
901	0.1075422617
902	0.1074184553
903	0.1073035547
904	0.1071481835
905	0.1069686052
906	0.1068119555
907	0.1066350306
908	0.1064748628
909	0.1063438116
910	0.1062486035
911	0.105993392
912	0.1059131631
913	0.1057577465
914	0.1055912904
915	0.105486293
916	0.1053081338
917	0.1051547138
918	0.104852107
919	0.1047498841
920	0.1046607512
921	0.1045232402
922	0.1043696609
923	0.1042731716
924	0.1041857894
925	0.1040744656
926	0.1038927817
927	0.1037552752
928	0.1035932703
929	0.1034923861
930	0.1033541642
931	0.1032606163
932	0.103113707
933	0.1029905649
934	0.1028014616
935	0.1026839151
936	0.1025520962
937	0.1023874179
938	0.1022027519
939	0.1020272923
940	0.1019448058
941	0.1017264771
942	0.1015908079
943	0.1014822436
944	0.1013579115
945	0.1012865499
946	0.1011880774
947	0.1009535094
948	0.1008651541
949	0.1007513859
950	0.1006401658
951	0.1005091093
952	0.1003961824
953	0.1002715973
954	0.1001430643
955	0.09999639394
956	0.09993232689
957	0.09982585224
958	0.09973324341
959	0.09958261906
960	0.09941920666
961	0.09935362577
962	0.09923435966
963	0.09908104824
964	0.09896830912
965	0.09878053106
966	0.0987044492
967	0.09859021588
968	0.09846334253
969	0.09836687878
970	0.09826088943
971	0.09817254089
972	0.09805827303
973	0.09795605616
974	0.09784633784
975	0.09774669807
976	0.09760427752
977	0.09747159961
978	0.09739405112
979	0.0972852282
980	0.09717654766
981	0.09700263208
982	0.09692895148
983	0.09680547001
984	0.09670048726
985	0.09659455749
986	0.09646546513
987	0.09636422808
988	0.09627857835
989	0.0961624183
990	0.09609059172
991	0.09593348691
992	0.09583158382
993	0.09567801723
994	0.09554197983
995	0.09540285397
996	0.09529495824
997	0.09512305837
998	0.09495318259
999	0.09487022549
