,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
17,2023-01-01,56095.432719245626,51584.103530133034,63602.570636784185,55970.97280738411,56225.290020470835,2116.9114357802596,2116.9114357802596,2116.9114357802596,2116.9114357802596,2116.9114357802596,2116.9114357802596,0.0,0.0,0.0,58212.34415502589
18,2023-01-08,56217.92731526231,53109.31968489115,64774.7585119509,56078.34785065441,56358.44121378924,2570.193458036296,2570.193458036296,2570.193458036296,2570.193458036296,2570.193458036296,2570.193458036296,0.0,0.0,0.0,58788.1207732986
19,2023-01-15,56340.42191127898,52963.32692965616,65613.9271269171,56185.53364302618,56496.10066188057,2474.5212926551762,2474.5212926551762,2474.5212926551762,2474.5212926551762,2474.5212926551762,2474.5212926551762,0.0,0.0,0.0,58814.943203934155
20,2023-01-22,56462.91650729566,52278.09333879159,64540.16102679804,56296.19496807732,56637.035495730204,2052.2904270184267,2052.2904270184267,2052.2904270184267,2052.2904270184267,2052.2904270184267,2052.2904270184267,0.0,0.0,0.0,58515.20693431409
21,2023-01-29,56585.411103312355,51741.07355147402,64629.057721770536,56407.505467825584,56776.60136201983,1448.6661779178462,1448.6661779178462,1448.6661779178462,1448.6661779178462,1448.6661779178462,1448.6661779178462,0.0,0.0,0.0,58034.0772812302
22,2023-02-05,56707.905699329036,50902.69362355532,63614.964885312045,56509.708453709856,56915.557838969406,681.2450648881025,681.2450648881025,681.2450648881025,681.2450648881025,681.2450648881025,681.2450648881025,0.0,0.0,0.0,57389.15076421714
23,2023-02-12,56830.40029534571,50577.5935522444,62908.99495052589,56616.02671952591,57049.61837041511,-198.99656767327022,-198.99656767327022,-198.99656767327022,-198.99656767327022,-198.99656767327022,-198.99656767327022,0.0,0.0,0.0,56631.40372767244
24,2023-02-19,56952.89489136239,50074.47521331552,62079.4689108157,56727.30010778947,57192.1227839717,-992.7074226400965,-992.7074226400965,-992.7074226400965,-992.7074226400965,-992.7074226400965,-992.7074226400965,0.0,0.0,0.0,55960.187468722295
25,2023-02-26,57075.38948737907,49860.92713986759,61565.237270408106,56838.484220443155,57336.934130821595,-1445.155019268348,-1445.155019268348,-1445.155019268348,-1445.155019268348,-1445.155019268348,-1445.155019268348,0.0,0.0,0.0,55630.23446811072
26,2023-03-05,57197.88408339575,49396.55851590458,61870.005635045185,56940.689824554436,57476.6466098227,-1439.4195793627603,-1439.4195793627603,-1439.4195793627603,-1439.4195793627603,-1439.4195793627603,-1439.4195793627603,0.0,0.0,0.0,55758.46450403299
27,2023-03-12,57320.378679412424,49593.25902285058,62219.815315553344,57048.936739697456,57610.67100174202,-1081.902317145905,-1081.902317145905,-1081.902317145905,-1081.902317145905,-1081.902317145905,-1081.902317145905,0.0,0.0,0.0,56238.47636226652
